"annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
1,"1","2024-10-05T22:07:21.853088Z",1,4.541,"Negative","В частной школе происходит изнасилование и убийство учительницы.","2024-10-05T22:07:21.853088Z"
2,"1","2024-10-05T22:07:29.865404Z",2,12.122,"Positive","Под подозрением абсолютно все, кто с ней общался.","2024-10-05T22:07:29.866401Z"
3,"1","2024-10-05T22:07:36.647164Z",3,5.485,"Positive","Детектив Виктор Лётов берется за расследование самого жестокого дела за свою практику.","2024-10-05T22:07:36.647164Z"
4,"1","2024-10-05T22:07:47.845221Z",4,9.862,"Negative","Поначалу ему кажется, что ничего не будет ему мешать и все пойдет гладко, но, погрузившись в школьный мир, он узнает жестокую правду о повседневных буднях учеников этого заведения и поймет, что мы никогда не замечаем, как используют наших детей!","2024-10-05T22:07:47.845221Z"
5,"1","2024-10-05T22:08:00.899061Z",5,11.911,"Positive","Тихий подросток Пьетро Морони растет в неблагополучной семье, он замкнут, любит читать и наблюдать за животными.","2024-10-05T22:08:00.899061Z"
6,"1","2024-10-05T22:08:08.155660Z",6,6.179,"Negative","В нем копится протест, и это приводит его к трагедии.","2024-10-05T22:08:08.155660Z"
7,"1","2024-10-05T22:08:14.362234Z",7,14.048,"Positive","Однако его личная жизнь терпит полный крах, а единственная настоящая любовь безвозвратно от него ускользает.","2024-10-05T22:08:23.750340Z"
8,"1","2024-10-05T22:08:59.361023Z",8,34.499,"Negative","Мелинда Сордино — изгой в своем новом классе.","2024-10-05T22:08:59.361023Z"
9,"1","2024-10-05T22:09:07.440322Z",9,6.719,"Negative","В одном из лондонских парков обнаружен труп ребенка, убитого с особой жестокостью.","2024-10-05T22:09:07.440322Z"
10,"1","2024-10-05T22:09:19.293593Z",10,10.586,"Positive","По подозрению в совершении преступления полиция задерживает одиннадцатилетнего Себастьяна Кролла.","2024-10-05T22:09:19.293593Z"
11,"1","2024-10-05T22:09:26.148152Z",11,5.102,"Negative","Мальчик отрицает вину, но его поведение настолько неадекватно, что даже Дэниелу Хантеру, его адвокату, становится временами не по себе.","2024-10-05T22:09:26.148152Z"
